epoch,train_loss,val_iou,val_dice,lr,secs
0,0.9638683652055675,0.17879686233180356,0.30335483244860634,9.93103448275862e-05,613.7215344905853
1,0.7685005492177502,0.5018929249325723,0.6683471459260052,0.00019931034482758618,63.6325466632843
2,0.492889561324284,0.5787927711868198,0.7332092998522234,0.0002993103448275862,64.63538932800293
3,0.34430345882629526,0.6189456037662531,0.7646280422595567,0.0002997753575400149,63.251630783081055
4,0.3118353044164592,0.6161765768509426,0.7625114553405281,0.0002990958630779494,63.79780435562134
5,0.30542263121440494,0.612502327802052,0.7596917129873957,0.00029796356937999513,63.34081435203552
6,0.29961049936968703,0.6237612715247122,0.76829184494467,0.00029638191518489805,63.68067979812622
7,0.29362925948767826,0.6305952645225886,0.7734540609097335,0.000294355703924465,62.93521022796631
8,0.29026192704151416,0.6287104593568391,0.7720346556933273,0.00029189108913569927,65.45756411552429
9,0.2841983271056208,0.6309798791074477,0.7737433026491423,0.0002889955557727107,63.146202087402344
10,0.2834975190203765,0.6211734176904828,0.7663256884330166,0.00028567789747515617,66.97715139389038
11,0.2776370131763919,0.6348115653457944,0.7766174142663584,0.0002819481898622453,63.46961069107056
12,0.27355904856632496,0.6314012533104636,0.7740600321707671,0.0002778177599334154,65.81502175331116
13,0.2775372013963502,0.6366000328862371,0.7779543200467335,0.000273299151668607,63.94126343727112
14,0.2690264894016858,0.6438547165889019,0.7833474699332791,0.00026840608793260895,66.01498651504517
15,0.2733071868789607,0.6433691545473638,0.7829879887511557,0.000263153428799169,64.80208778381348
16,0.26848764100979117,0.6392731482902696,0.7799470746617416,0.0002575571264214381,64.95564270019531
17,0.2673621494194557,0.6363831327274563,0.7777923397031831,0.00025163417658580586,62.12681460380554
18,0.26632460951805115,0.639922378822681,0.7804300826507272,0.0002454025670962556,63.9889554977417
19,0.260905021120762,0.6466999406520836,0.7854496434802738,0.00023888122314599515,63.33253335952759
20,0.2599620847866453,0.6476916526992614,0.7861806566030821,0.00023208994984226676,65.07379817962646
21,0.2551329698028236,0.634832700195185,0.7766332299560578,0.00022504937205888767,65.78941035270691
22,0.25952650514142267,0.6381113966384436,0.7790818108559739,0.0002177808717991859,63.105422258377075
23,0.26055749038170123,0.6389798607852798,0.7797287521020877,0.00021030652325955892,64.65196490287781
24,0.2518777588318134,0.6426361712399362,0.7824449290616136,0.00020264902579086503,62.89586782455444
25,0.25485201046384615,0.6478839447923435,0.786322297562024,0.00019483163496124043,63.707250118255615
26,0.2513503914249354,0.639107352146538,0.7798236659845097,0.00018687809192970346,63.858121156692505
27,0.24836287118237593,0.6415898737588817,0.781668897956566,0.00017881255134503466,62.476235151290894
